week,date,topic,lecture,notes,supplemental reading,homework,lab
1,Aug 20,PL and functional programming,"course intro, overview",[lecture01](…),,[hw 1](https://github.com/mines-csci400/f19-assignment-hw01) assigned,
,Aug 22,PL and functional programming,"PL building blocks, JavaScript intro",[lecture02](…),"[JavaScript Standard](https://www.ecma-international.org/ecma-262/10.0/index.html), [Semantics of PL](http://www.cs.tau.ac.il/~msagiv/courses/semantics/semnotes.ps) ch 1.1, 2.1-2.3",,
2,Aug 27,PL and functional programming,functional programming (simple functional language),[lecture03](…),[Semantics of PL](http://www.cs.tau.ac.il/~msagiv/courses/semantics/semnotes.ps) ch 3,,
,Aug 29,PL and functional programming,"crash course on Linux, Scala, SBT, Git",[lecture04](…),"[Scastie](https://scastie.scala-lang.org), [Git Cheat Sheet](http://www.marcelofossrj.com/reference%20card/2017/07/26/git-reference.html) , [Scala Exercises](https://www.scala-exercises.org/scala_tutorial) ",[hw 1](https://github.com/mines-csci400/f19-assignment-hw01) due,
3,Sep 3,PL and functional programming,"crash course on Linux, Scala, SBT, Git",[lecture05](…),"[Programming in Scala](https://www.artima.com/pins1ed/index.html), [Scala Spec](https://scala-lang.org/files/archive/spec/2.12/13-syntax-summary.html)",[hw 2](https://github.com/mines-csci400/f19-assignment-hw02) assigned,
,Sep 5,expressions and evaluation,"algebraic data types (ADTs), pattern matching",[lecture06](…),[Data Types](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/data/intro.html),,
4,Sep 10,*no class ([career day](https://www.mines.edu/careers/career-day/))*,,,,,[lab 1](https://github.com/mines-csci400/f19-assignment-lab1) assigned
,Sep 12,expressions and evaluation,"algebraic data types (ADTs), pattern matching",[lecture07](…),[Data Types](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/data/intro.html),[hw 2](https://github.com/mines-csci400/f19-assignment-hw02) due,
5,Sep 17,expressions and evaluation,"syntax, grammars",[lecture08](…),[Semantics of PL](http://www.cs.tau.ac.il/~msagiv/courses/semantics/semnotes.ps) ch 1.2,[hw 3](https://github.com/mines-csci400/f19-assignment-hw03) assigned,
,Sep 19,syntax and semantics,"lexing, parsing",[lecture09](…),"[Lexing](https://courses.cs.washington.edu/courses/cse401/04sp/slides/02-lexing.pdf), [Parsing](https://courses.cs.washington.edu/courses/cse401/04sp/slides/03-parsing.pdf), [Lexing & Parsing](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/lex_parse.html)",,[lab 1](https://github.com/mines-csci400/f19-assignment-lab1) due
